route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
BRSH-4998,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5075,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5076,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5093,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5094,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5106,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5110,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5111,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5115,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5117,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5118,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5119,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5135,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
BRSH-5136,BRSH,"Brisbane City - Shorncliffe",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
