service_id,date,exception_type
SUN 26_27-43550-1111000,20261005,2
SUN 26_27-43550-1110100,20261005,2
SUN 26_27-43550-0000100,20261005,2
SUN 26_27-43550-0001000,20261005,2
TBS 26_27-43794,20260921,2
TBS 26_27-43794,20260922,2
TBS 26_27-43794,20260923,2
TBS 26_27-43794,20260924,2
TBS 26_27-43794,20260925,2
TBS 26_27-43794,20260928,2
TBS 26_27-43794,20260929,2
TBS 26_27-43794,20260930,2
TBS 26_27-43794,20261001,2
TBS 26_27-43794,20261002,2
TBS 26_27-43794,20261005,2
TBS 26_27-43496,20261005,1
QR 26_27-44006,20260926,2
QR 26_27-44007,20260927,2
QR 26_27-44008,20260924,2
QR 26_27-44008,20260929,2
TDEV 26_27-43011,20260921,2
TDEV 26_27-43011,20260922,2
TDEV 26_27-43011,20260923,2
TDEV 26_27-43011,20260924,2
TDEV 26_27-43011,20260925,2
TDEV 26_27-43011,20260928,2
TDEV 26_27-43011,20260929,2
TDEV 26_27-43011,20260930,2
TDEV 26_27-43011,20261001,2
TDEV 26_27-43011,20261002,2
TDEV 26_27-43011,20261005,2
TSQ 26_27-43514,20261005,1
TSQ 26_27-43512,20261005,2
WBS 26_27-42910,20260921,2
WBS 26_27-42910,20260922,2
WBS 26_27-42910,20260923,2
WBS 26_27-42910,20260924,2
WBS 26_27-42910,20260925,2
WBS 26_27-42910,20260928,2
WBS 26_27-42910,20260929,2
WBS 26_27-42910,20260930,2
WBS 26_27-42910,20261001,2
WBS 26_27-42910,20261002,2
WBS 26_27-42910,20261005,2
