route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
375-5065,BT 26_27-43779,38474345-BT 26_27-43779,"Bardon",1,,3750028
375-5065,BT 26_27-43779,38474346-BT 26_27-43779,"Bardon",1,,3750028
656-4986,CBL 26_27-43425,38017748-CBL 26_27-43425,"Morayfield",1,,6560084
656-4986,CBL 26_27-43425,38017751-CBL 26_27-43425,"Morayfield",1,,6560085
654-4986,CBL 26_27-43425,38017754-CBL 26_27-43425,"Caboolture",0,,6540036
640-4986,CBL 26_27-43425,38017761-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6400055
643-4986,CBL 26_27-43425,38017762-CBL 26_27-43425,"Caboolture",1,,6430023
640-4986,CBL 26_27-43425,38017765-CBL 26_27-43425,"Woorim",0,,6400088
643-4986,CBL 26_27-43425,38017774-CBL 26_27-43425,"Caboolture",1,,6430023
657-4986,CBL 26_27-43425,38017775-CBL 26_27-43425,"Caboolture",1,,6570031
640-4986,CBL 26_27-43425,38017778-CBL 26_27-43425,"Woorim",0,,6400088
640-4986,CBL 26_27-43425,38017779-CBL 26_27-43425,"Caboolture",1,,6400089
653-4986,CBL 26_27-43425,38017780-CBL 26_27-43425,"Morayfield",1,,6530076
654-4986,CBL 26_27-43425,38017783-CBL 26_27-43425,"Caboolture",0,,6540036
657-4986,CBL 26_27-43425,38017784-CBL 26_27-43425,"Caboolture",1,,6570031
653-4986,CBL 26_27-43425,38017787-CBL 26_27-43425,"Morayfield",1,,6530076
656-4986,CBL 26_27-43425,38017788-CBL 26_27-43425,"Morayfield",1,,6560084
656-4986,CBL 26_27-43425,38017791-CBL 26_27-43425,"Morayfield",1,,6560084
654-4986,CBL 26_27-43425,38017792-CBL 26_27-43425,"Caboolture",0,,6540036
655-4986,CBL 26_27-43425,38017793-CBL 26_27-43425,"Caboolture",1,,6550021
653-4986,CBL 26_27-43425,38017796-CBL 26_27-43425,"Morayfield",1,,6530076
654-4986,CBL 26_27-43425,38017799-CBL 26_27-43425,"Caboolture",0,,6540036
653-4986,CBL 26_27-43425,38017800-CBL 26_27-43425,"Morayfield",1,,6530076
654-4986,CBL 26_27-43425,38017801-CBL 26_27-43425,"Caboolture",0,,6540036
655-4986,CBL 26_27-43425,38017802-CBL 26_27-43425,"Caboolture",1,,6550021
653-4986,CBL 26_27-43425,38017803-CBL 26_27-43425,"Morayfield",1,,6530076
651-4986,CBL 26_27-43425,38017806-CBL 26_27-43425,"Morayfield",0,,6510267
654-4986,CBL 26_27-43425,38017809-CBL 26_27-43425,"Caboolture",0,,6540036
655-4986,CBL 26_27-43425,38017810-CBL 26_27-43425,"Caboolture",1,,6550021
655-4986,CBL 26_27-43425,38017811-CBL 26_27-43425,"Caboolture",1,,6550021
652-4986,CBL 26_27-43425,38017915-CBL 26_27-43425,"Caboolture",0,,6520129
654-4986,CBL 26_27-43425,38017917-CBL 26_27-43425,"Caboolture",0,,6540036
655-4986,CBL 26_27-43425,38017918-CBL 26_27-43425,"Caboolture",1,,6550021
652-4986,CBL 26_27-43425,38017926-CBL 26_27-43425,"Caboolture",0,,6520129
652-4986,CBL 26_27-43425,38017929-CBL 26_27-43425,"Caboolture",0,,6520129
657-4986,CBL 26_27-43425,38017938-CBL 26_27-43425,"Caboolture",1,,6570031
653-4986,CBL 26_27-43425,38017939-CBL 26_27-43425,"Morayfield",1,,6530076
655-4986,CBL 26_27-43425,38017941-CBL 26_27-43425,"Caboolture",1,,6550021
653-4986,CBL 26_27-43425,38017944-CBL 26_27-43425,"Morayfield",1,,6530076
656-4986,CBL 26_27-43425,38017945-CBL 26_27-43425,"Morayfield",1,,6560084
656-4986,CBL 26_27-43425,38017992-CBL 26_27-43425,"Morayfield",1,,6560084
656-4986,CBL 26_27-43425,38017993-CBL 26_27-43425,"Morayfield",1,,6560084
651-4986,CBL 26_27-43425,38017995-CBL 26_27-43425,"Morayfield",0,,6510265
651-4986,CBL 26_27-43425,38017998-CBL 26_27-43425,"Morayfield",0,,6510267
652-4986,CBL 26_27-43425,38018001-CBL 26_27-43425,"Caboolture",0,,6520129
652-4986,CBL 26_27-43425,38018002-CBL 26_27-43425,"Caboolture",0,,6520129
9999-4986,CBL 26_27-43425-0001000,38018009-CBL 26_27-43425,"Morayfield",1,,99990074
653-4986,CBL 26_27-43425,38018013-CBL 26_27-43425,"Morayfield",1,,6530076
651-4986,CBL 26_27-43425,38018014-CBL 26_27-43425,"Morayfield",0,,6510218
651-4986,CBL 26_27-43425,38018015-CBL 26_27-43425,"Morayfield",0,,6510221
656-4986,CBL 26_27-43425,38018017-CBL 26_27-43425,"Morayfield",1,,6560084
651-4986,CBL 26_27-43425,38018019-CBL 26_27-43425,"Morayfield",0,,6510266
640-4986,CBL 26_27-43425,38018022-CBL 26_27-43425,"Woorim",0,,6400088
640-4986,CBL 26_27-43425,38018023-CBL 26_27-43425,"Caboolture",1,,6400089
640-4986,CBL 26_27-43425,38018024-CBL 26_27-43425,"Woorim",0,,6400088
640-4986,CBL 26_27-43425,38018025-CBL 26_27-43425,"Caboolture",1,,6400089
655-4986,CBL 26_27-43425,38018031-CBL 26_27-43425,"Caboolture",1,,6550021
652-4986,CBL 26_27-43425,38018033-CBL 26_27-43425,"Caboolture",0,,6520129
652-4986,CBL 26_27-43425,38018039-CBL 26_27-43425,"Caboolture",0,,6520129
651-4986,CBL 26_27-43425,38018041-CBL 26_27-43425,"Morayfield",0,,6510266
653-4986,CBL 26_27-43425,38018043-CBL 26_27-43425,"Morayfield",1,,6530076
651-4986,CBL 26_27-43425,38018046-CBL 26_27-43425,"Morayfield",0,,6510223
640-4986,CBL 26_27-43425,38018048-CBL 26_27-43425,"Woorim",0,,6400088
641-4986,CBL 26_27-43425,38018050-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
655-4986,CBL 26_27-43425,38018053-CBL 26_27-43425,"Caboolture",1,,6550021
656-4986,CBL 26_27-43425,38018055-CBL 26_27-43425,"Morayfield",1,,6560084
651-4986,CBL 26_27-43425,38018057-CBL 26_27-43425,"Morayfield",0,,6510223
642-4986,CBL 26_27-43425,38018060-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43425,38018062-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
641-4986,CBL 26_27-43425,38018064-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
643-4986,CBL 26_27-43425,38018065-CBL 26_27-43425,"Caboolture",1,,6430023
643-4986,CBL 26_27-43425,38018066-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6430021
642-4986,CBL 26_27-43425,38018068-CBL 26_27-43425,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43425,38018069-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6420048
641-4986,CBL 26_27-43425,38018072-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
644-4986,CBL 26_27-43425,38018074-CBL 26_27-43425,"Sandstone Point",1,,6440015
644-4986,CBL 26_27-43425,38018076-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6440016
641-4986,CBL 26_27-43425,38018079-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
641-4986,CBL 26_27-43425,38018080-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
